Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
520.665525750,0,0,0,1,0,1,1,1
520.665683750,0,0,0,0,0,1,1,1
520.665689792,0,0,0,0,1,1,1,1
520.665785375,0,0,0,0,0,1,1,1
520.665791417,0,0,0,0,1,1,1,1
520.665813542,0,0,0,0,0,1,1,1
520.665842750,0,1,0,0,0,1,1,1
520.665944375,0,0,0,0,0,1,1,1
520.665982625,0,0,1,0,0,1,1,1
520.667268708,0,0,0,0,0,1,1,1
520.667273708,0,0,0,1,0,1,1,1
520.667429708,0,0,0,0,0,1,1,1
520.667435750,0,0,0,0,1,1,1,1
520.667531333,0,0,0,0,0,1,1,1
520.667537375,0,0,0,0,1,1,1,1
520.667559500,0,0,0,0,0,1,1,1
520.667588708,0,1,0,0,0,1,1,1
520.667690333,0,0,0,0,0,1,1,1
520.667728583,0,0,1,0,0,1,1,1
520.669014708,0,0,0,0,0,1,1,1
520.669019708,0,0,0,1,0,1,1,1
520.669177750,0,0,0,0,0,1,1,1
520.669183750,0,0,0,0,1,1,1,1
520.669279375,0,0,0,0,0,1,1,1
520.669285417,0,0,0,0,1,1,1,1
520.669307542,0,0,0,0,0,1,1,1
520.669336750,0,1,0,0,0,1,1,1
520.669438375,0,0,0,0,0,1,1,1
520.669476625,0,0,1,0,0,1,1,1
520.670762750,0,0,0,0,0,1,1,1
520.670767792,0,0,0,1,0,1,1,1
520.670978125,0,0,0,0,0,1,1,1
520.670984167,0,0,0,0,1,1,1,1
520.671079792,0,0,0,0,0,1,1,1
520.671085792,0,0,0,0,1,1,1,1
520.671107958,0,0,0,0,0,1,1,1
520.671137125,0,1,0,0,0,1,1,1
520.671238750,0,0,0,0,0,1,1,1
520.671277000,0,0,1,0,0,1,1,1
520.672563167,0,0,0,0,0,1,1,1
520.672568208,0,0,0,1,0,1,1,1
520.672726208,0,0,0,0,0,1,1,1
520.672732250,0,0,0,0,1,1,1,1
520.672827833,0,0,0,0,0,1,1,1
520.672833875,0,0,0,0,1,1,1,1
520.672856000,0,0,0,0,0,1,1,1
520.672885208,0,1,0,0,0,1,1,1
520.672986833,0,0,0,0,0,1,1,1
520.673025083,0,0,1,0,0,1,1,1
520.674311250,0,0,0,0,0,1,1,1
520.674316292,0,0,0,1,0,1,1,1
520.674472250,0,0,0,0,0,1,1,1
520.674478292,0,0,0,0,1,1,1,1
520.674573917,0,0,0,0,0,1,1,1
520.674579958,0,0,0,0,1,1,1,1
520.674602083,0,0,0,0,0,1,1,1
520.674631250,0,1,0,0,0,1,1,1
520.674732917,0,0,0,0,0,1,1,1
520.674771167,0,0,1,0,0,1,1,1
520.676057250,0,0,0,0,0,1,1,1
520.676062292,0,0,0,1,0,1,1,1
520.676220292,0,0,0,0,0,1,1,1
520.676226333,0,0,0,0,1,1,1,1
520.676321917,0,0,0,0,0,1,1,1
520.676327958,0,0,0,0,1,1,1,1
520.676350083,0,0,0,0,0,1,1,1
520.676379292,0,1,0,0,0,1,1,1
520.676480917,0,0,0,0,0,1,1,1
520.676519167,0,0,1,0,0,1,1,1
520.677805250,0,0,0,0,0,1,1,1
520.677810292,0,0,0,1,0,1,1,1
520.677966250,0,0,0,0,0,1,1,1
520.677972292,0,0,0,0,1,1,1,1
520.678067917,0,0,0,0,0,1,1,1
520.678073958,0,0,0,0,1,1,1,1
520.678096083,0,0,0,0,0,1,1,1
520.678125250,0,1,0,0,0,1,1,1
520.678226917,0,0,0,0,0,1,1,1
